Neighbourhood_name,neighbourhood_id,percent_less_than_LIM,pm25_2016,greenness_2016,2021_LIMAT_PC,mean_pm25_2000_2016
West Humber-Clairville,1,15.8,7.33,0.47,8.7,8.97
Mount Olive-Silverstone-Jamestown,2,27.9,7.31,0.56,15.6,8.96
Thistletown-Beaumond Heights,3,17.8,7.34,0.64,11.8,8.99
Rexdale-Kipling,4,18.6,7.31,0.58,13.5,8.99
Elms-Old Rexdale,5,23.2,7.4,0.6,12.4,9.04
Kingsview Village-The Westway,6,24.9,7.39,0.59,14.7,9.04
Willowridge-Martingrove-Richview,7,15,7.42,0.58,9.5,9.05
Humber Heights-Westmount,8,14.6,7.4,0.68,10.2,9.09
Edenbridge-Humber Valley,9,10.5,7.47,0.67,8.2,9.13
Princess-Rosethorn,10,7.2,7.47,0.65,5.6,9.1
Eringate-Centennial-West Deane,11,9.7,7.46,0.58,5.6,9.12
Markland Wood,12,8.3,7.58,0.61,6,9.21
Etobicoke West Mall,13,18.3,7.52,0.53,11,9.16
Islington-City Centre West,14,15.8,7.57,0.52,11.1,9.2
Kingsway South,15,4.5,7.59,0.71,4.3,9.21
Stonegate-Queensway,16,11.6,7.62,0.63,8.7,9.27
Mimico (includes Humber Bay Shores),17,18.2,7.66,0.49,13,9.32
New Toronto,18,24.8,7.65,0.48,15.8,9.31
Long Branch,19,17.6,7.77,0.55,11.2,9.38
Alderwood,20,8.2,7.72,0.56,6.2,9.33
Humber Summit,21,19.7,7.33,0.41,12.2,8.93
Humbermede,22,22.7,7.31,0.54,13.3,8.99
Pelmo Park-Humberlea,23,11.4,7.39,0.58,7.7,9.06
Black Creek,24,33,7.07,0.53,19.4,8.72
Glenfield-Jane Heights,25,25.7,7.19,0.51,14.9,8.88
Downsview-Roding-CFB,26,19.4,7.13,0.51,12.2,8.86
York University Heights,27,24.4,6.95,0.49,13.8,8.61
Rustic,28,31.7,7.32,0.52,19.1,9.07
Maple Leaf,29,15.2,7.24,0.56,9,8.94
Brookhaven-Amesbury,30,24.7,7.37,0.54,3.8,9.07
Yorkdale-Glen Park,31,16.8,7.02,0.47,12.2,8.76
Englemount-Lawrence,32,21.3,6.91,0.54,13.4,8.63
Clanton Park,33,14.9,6.83,0.58,10.6,8.58
Bathurst Manor,34,17,6.83,0.59,11.4,8.56
Westminster-Branson,35,24.4,6.88,0.64,13.7,8.56
Newtonbrook West,36,26.3,6.73,0.59,15.3,8.41
Willowdale West,37,27.1,6.81,0.61,19.2,8.51
Lansing-Westgate,38,17.6,6.92,0.65,11.8,8.65
Bedford Park-Nortown,39,9.4,6.92,0.58,8.7,8.65
St.Andrew-Windfields,40,15.9,6.98,0.65,13,8.69
Bridle Path-Sunnybrook-York Mills,41,8.8,7.08,0.71,9.1,8.82
Banbury-Don Mills,42,13.7,7.15,0.6,11.1,8.84
Victoria Village,43,25.9,7.12,0.55,17.6,8.81
Flemingdon Park,44,34.7,7.29,0.65,19.9,8.97
Parkwoods-Donalda,45,20.6,6.95,0.63,12.2,8.58
Pleasant View,46,17.5,6.53,0.56,10.1,8.19
Don Valley Village,47,23.5,6.83,0.59,13.5,8.48
Hillcrest Village,48,21.9,6.74,0.61,15.6,8.38
Bayview Woods-Steeles,49,18.4,6.97,0.67,11.9,8.6
Newtonbrook East,50,27.4,6.8,0.61,17.7,8.43
Willowdale East,51,30.3,6.86,0.59,19.7,8.51
Bayview Village,52,23.7,6.97,0.64,16.4,8.61
Henry Farm,53,29.6,6.8,0.51,17.2,8.46
O'Connor-Parkview,54,22.5,7.23,0.63,13.6,8.95
Thorncliffe Park,55,45.5,7.29,0.59,24.2,9.04
Leaside-Bennington,56,6.9,7.21,0.64,5.8,8.96
Broadview North,57,22.6,7.38,0.58,14.6,9.11
Old East York,58,13.5,7.37,0.55,8.3,9.09
Danforth-East York,59,13.6,7.32,0.47,9.3,9.08
Woodbine-Lumsden,60,15.2,7.3,0.56,10,9.04
Taylor-Massey,61,32.9,7.28,0.63,17.8,9
East End-Danforth,62,18.8,7.33,0.57,11.9,9.05
The Beaches,63,9.4,7.48,0.54,7.9,9.21
Woodbine Corridor,64,15.8,7.44,0.63,11.1,9.18
Greenwood-Coxwell,65,19.7,7.48,0.55,12,9.23
Danforth,66,14.2,7.33,0.51,10.3,9.09
Playter Estates-Danforth,67,13.6,7.38,0.61,10.7,9.16
North Riverdale,68,10.9,7.43,0.59,8.3,9.21
Blake-Jones,69,24.5,7.4,0.56,15.2,9.19
South Riverdale,70,18.7,7.53,0.48,11.7,9.29
Cabbagetown-South St. James Town,71,20.8,7.47,0.62,15,9.2
